sample,lane,read,file,condition
20OX07630_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L002_R1_001.fastq.gz,healthy
20OX07630_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L002_R2_001.fastq.gz,healthy
20OX07630_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L003_R1_001.fastq.gz,healthy
20OX07630_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L003_R2_001.fastq.gz,healthy
20OX07630_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L004_R1_001.fastq.gz,healthy
20OX07630_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20OX07630/20OX07630_S5_L004_R2_001.fastq.gz,healthy
20PG07688_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R1_001.fastq.gz,healthy
20PG07688_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R2_001.fastq.gz,healthy
20PG07688_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R1_001.fastq.gz,healthy
20PG07688_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R2_001.fastq.gz,healthy
20PG07688_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R1_001.fastq.gz,healthy
20PG07688_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R2_001.fastq.gz,healthy
20PG07688_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R1_001.fastq.gz,healthy
20PG07688_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20PG07688/20PG07688_S11_L001_R2_001.fastq.gz,healthy
20SG07651_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R1_001.fastq.gz,healthy
20SG07651_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R2_001.fastq.gz,healthy
20SG07651_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R1_001.fastq.gz,healthy
20SG07651_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R2_001.fastq.gz,healthy
20SG07651_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R1_001.fastq.gz,healthy
20SG07651_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R2_001.fastq.gz,healthy
20SG07651_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R1_001.fastq.gz,healthy
20SG07651_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SG07651/20SG07651_S6_L001_R2_001.fastq.gz,healthy
20SX05888_S1,L001,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R1_001.fastq.gz,healthy
20SX05888_S1,L001,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R2_001.fastq.gz,healthy
20SX05888_S1,L002,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R1_001.fastq.gz,healthy
20SX05888_S1,L002,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R2_001.fastq.gz,healthy
20SX05888_S1,L003,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R1_001.fastq.gz,healthy
20SX05888_S1,L003,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R2_001.fastq.gz,healthy
20SX05888_S1,L004,R1,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R1_001.fastq.gz,healthy
20SX05888_S1,L004,R2,/mnt/omar/pipelines/icc/old_pipeline/data/benchmarking/20SX05888/20SX05888_S4_L001_R2_001.fastq.gz,healthy
